direction,system,METRICX_QE_24_diff,XCOMET_QE_diff
en_fr,canary-v2,-1.7054099306214647,0.08728082077298138
en_fr,desta2-8b,-0.9296790342020804,0.044469393781775834
en_fr,aya_canary-v2,-1.2177544686950803,0.08665089537947668
en_fr,aya_whisper,-0.6481844464904709,0.0328212312315459
en_fr,aya_seamlessm4t,-1.7729621270136802,0.11211627009775471
en_fr,gemma_canary-v2,-2.0330175290404657,0.15101816328551199
en_fr,gemma_seamlessm4t,-2.3420708931402157,0.15013810067684352
en_fr,gemma_whisper,-0.5248861936010387,0.0032107083732284547
en_fr,gemma_owsm4.0-ctc,-2.2819613575827686,0.16578378330020954
en_fr,owsm4.0-ctc,-2.676955239050134,0.09205083294287614
en_fr,phi4multimodal,-2.0936924969170043,0.22571404371432852
en_fr,qwen2audio-7b,-2.244337893979493,0.14696543612023977
en_fr,seamlessm4t,-4.615429052562877,0.19773422567798407
en_fr,spirelm,-2.3849143642595925,0.15178034894583242
en_fr,voxtral-small-24b,-0.7789281613197536,0.02286843135988459
en_fr,tower_canary-v2,-1.8218212579721609,0.12662236505468044
en_fr,tower_owsm4.0-ctc,-1.6728980695532014,0.11027262133511118
en_fr,tower_seamlessm4t,-2.079013265680218,0.1251157697812486
en_fr,tower_whisper,-0.5754872064541248,0.029736727990803402
